,telephone,email,description,website,facebook,linkedin,twitter,exd_link,exd_name,exd_id
10,+886 2 5594 1433,sales-hongkongtaiwan@akamai.com,"Akamai 為線上生活提供支援和保護。全球領先的公司選擇 Akamai 來構建、交付和保護他們的數位體驗—為數十億人每天的生活、工作和娛樂提供幫助。借助全球廣泛分佈的覆蓋從雲到邊緣的運算平臺Akamai Connected Cloud，我們協助客戶輕鬆開發和運行應用程式，同時讓體驗更貼近用戶，讓威脅距離用戶更遠。
產品類型
Cloud Security",https://twitter.com/Akamai,https://www.facebook.com/Akamai.Taiwan,https://www.linkedin.com/company/akamai-technologies/,https://twitter.com/Akamai,https://cybersec.ithome.com.tw/2024/exhibition-page/2055,阿卡邁,C203
11,886-2-23122625,MingChieh.Chiu@alliedtelesis.com,"日系網通精工品牌 Allied Telesis 成立於 1987 年，已經為網路通信行業提供了 30 多年的服務。儘管 Allied Telesis 設計和構建的技術隨著時間的推移已經發生了顯著的發展，但是 Allied Telesis 在基於標準的性能和產品可靠性方面來之不易的聲譽一直是全球客戶和合作夥伴始終如一，備受推崇的價值。
產品類型
Network Security Policy Management",https://twitter.com/alliedtelesis?s=09,https://www.facebook.com/AlliedTelesisAsiaPacific/?ti=as,,https://twitter.com/alliedtelesis?s=09,https://cybersec.ithome.com.tw/2024/exhibition-page/2056,Allied Telesis,P214
12,,,"Allot 成立於 1996 年，並於 2006 年在納斯達克和特拉維夫證交所公開交易，是智慧型網路頻寬流量管理解決方案的宣導者。採用深度資料檢測（DPI）技術，將寬頻網路朝更智慧化的方向推動。
Allot 是七層深層檢視（DPI）頻寬管理設備的領導品牌，其電信級的產品品質，使其產品與解決方案廣受全世界的電信運營商，ISP 服務供應商，及各大企業所採用。
產品類型
OT Security",https://twitter.com/allot_ltd,https://www.facebook.com/AllotCommunications/,https://www.linkedin.com/company/allot-communications,https://twitter.com/allot_ltd,https://cybersec.ithome.com.tw/2024/exhibition-page/2105,Allot,C110、P115
13,02-26583077#214,ted@uniforce.com.tw,"Aqua Security 是雲原生安全領域的領導者 ，為客戶提供創新和加速數字化轉型的自由。 Aqua 平台在整個應用程序生命週期中提供預防、檢測和響應自動化，無論它們部署在何處，都能保護供應鏈、保護雲基礎設施和安全運行的工作負載。
產品類型
Cloud Security",https://twitter.com/AquaSecTeam,https://www.facebook.com/AquaSecTeam,https://www.linkedin.com/company/aquasecteam/mycompany/,https://twitter.com/AquaSecTeam,https://cybersec.ithome.com.tw/2024/exhibition-page/1972,Aqua Security,C317
14,,,"Your business is counting on technology to serve your customers and keep your operations running smoothly. Unfortunately, risks such as security threats and technology failures can be right around the corner.
Archer IT & Security Risk Management can be the backbone of your strategy to manage technology risk - whether it is supporting major digital business initiatives, enabling your security teams or facilitating IT compliance. See how Archer can help build your IT risk management program.
產品類型
Governance Risk Compliance",https://www.twitter.com/ArcherIRM,,https://www.linkedin.com/company/archer-integrated-risk-management/,https://www.twitter.com/ArcherIRM,https://cybersec.ithome.com.tw/2024/exhibition-page/2205,ARCHER,C110
15,+886-2-8978-3088,sunny.ju@arecnetworks.com.tw,"軍崴科技提供新世代之高效能資訊網路安全技術與產品，秉持專業技術訓練、諮詢服務，協助經銷夥伴加強產品與技術整合能力，務求滿足客戶現實需求與未來規劃建置。
以專業代理，經銷拓展為營運方針，成為資訊網路業界最具優勢的專業型加值代理商。
產品類型
DNS Security",http://www.arecnetworks.com.tw/,,,,https://cybersec.ithome.com.tw/2024/exhibition-page/2081,軍崴科技,C218
16,03-621-6700,sm@armorxgt.com,"深偽 AI 辨識 
安全究極 · 世界最強
ArmorX 鎧睿全球科技成立於 2000 年，是「極智防護_資安防禦暨溝通協作」的研發製造商，營運模式涵蓋雲端服務 (SaaS)、專屬硬體 (Appliance)、軟體 (Software)、虛擬化 (VM)。
ArmorX 總裁暨技術長鄭志文，美國名校 CMU 卡內基美隆大學應用數學博士，
博士論文獲選為全球控制領域頂尖期刊年度論文，相關專利與著作超過 20 篇。
該校連續多年蟬聯全美電腦科學排名第一，是前瞻資訊與資安技術的主導名校。
ArmorX 自行編譯高效率封閉專用 ArmorX OS 與 MTA 金鑰安全與反滲透防護技術、不死運作 DB 資料庫與 Daeon 常駐程式、反滲透竄改與 7000+ 萬情資清洗。
解決方案功能強大與彈性細膩，深獲千家重視資安用戶信賴，連續多年通過 ISO/IEC 27001:2013 驗證、工業局 APP 資安檢測，團隊具備 CEH 頂級駭客證照、ISO27001 證照、ISO27701 證照，榮獲 2022 COMPUTEX TAIPEI 第一屆 BC 資安產品獎、資訊月百大創新產品獎、金漾獎等。
產品類型
Email Anti-spam
Email Security",https://www.facebook.com/pg/ArmorX-Global-Technology-%E9%8E%A7%E7%9D%BF%E5%85%A8%E7%90%83%E7%A7%91%E6%8A%80-243376515707429/about,https://www.facebook.com/pg/ArmorX-Global-Technology-%E9%8E%A7%E7%9D%BF%E5%85%A8%E7%90%83%E7%A7%91%E6%8A%80-243376515707429/about,,,https://cybersec.ithome.com.tw/2024/exhibition-page/2216,鎧睿全球科技,T30
17,02-27846000,kevinyeh@arraynetworks.com,"Array Networks 從矽谷起步，穩步發展其運營和技術組合。該公司的足跡現在遍及北美、歐洲、印度、日本、亞洲、非洲和中東，在全球擁有超過 5000 家滿意的客戶。Array 專注於人才和創新，在長期客戶和員工保留方面位居行業領導者之列。
產品類型
Network Traffic Analysis",https://twitter.com/arraynetworks,https://www.facebook.com/ArrayNetworks,https://www.linkedin.com/company/array-networks/mycompany/,https://twitter.com/arraynetworks,https://cybersec.ithome.com.tw/2024/exhibition-page/2107,Array Networks,C310
18,02-26580825,contact@authentrend.com,"AuthenTrend（歐生全） 是指紋密鑰 Fingerprint Passkey 的全球領導品牌。大多數的資料駭客外洩都是因為密碼盜竊，無密碼生物識別是提高資安等級，降低成本風險，並提升用戶登入體驗的未來趨勢。生物識別驗證可用於登入裝置、網頁服務甚至是區塊鏈，我們致力推行指紋密鑰及相關解決方案，從個人到商業、IT 到 IoT、中心化到去中心化。Leading the trend of authentication，我們相信用指紋取代密碼可以建立更安全的資訊環境，在數位時代帶給使用者更好的數位體驗。AuthenTrend 是微軟資安聯盟（MISA）認證成員, Windows 10 / 11 及 Azure AD 無密碼登入的推薦夥伴．除了 Passkey 外, 我們也提供 FIDO2 伺服器服務及 ZTA 政府零信任網路身分鑑別系統，讓更多用戶享受到指紋無密碼的安全與便利性。

產品類型
Zero Trust Network Access
Passwordless Authentication
FIDO",https://twitter.com/AuthenTrend,https://www.facebook.com/authentrend,https://www.linkedin.com/company/authentrend/,https://twitter.com/AuthenTrend,https://cybersec.ithome.com.tw/2024/exhibition-page/2208,AuthenTrend,T05
19,02-27752800,hi@authme.com,"Authme 是台灣 AI 身分驗證公司，致力於運用 AI 與機器學習技術，開發證件查驗及人臉辨識等創新身分驗證解決方案，而 Authme 更從身分驗證安全出發，進一步擴展防護範圍，涵蓋個人身分、裝置系統、企業網路等面向，基於「零信任」的核心理念為企業建構更完整的資安生態系統。
Authme 為 FIDO 國際組織會員，並且參與其 Identity Verification and Binding Working Group 工作小組，與工研院為台灣唯二代表成員。同時，Authme 團隊備受政府信賴，曾與唐鳳部長共同強化 Mydata 平台資安，並且長期擔任身分驗證與 AI 政策相關研究案顧問。Authme 期望透過身分驗證與零信任解決方案，提升企業資安系統的便利性與安全性，實現更完善的數位身分生態圈！
產品類型
Zero Trust Architecture
Authentication",https://twitter.com/AuthMe_Identity,https://www.facebook.com/helloauthme,https://www.linkedin.com/company/authmekyc,https://twitter.com/AuthMe_Identity,https://cybersec.ithome.com.tw/2024/exhibition-page/2050,Authme 數位身分,Q202
20,886-2-86462111,info@axiomtek.com.tw,"艾訊為工業電腦領域的領先設計者和製造商，並依據工業物聯網 (Industrial Internet of Things, IIoT) 與工業4.0發展趨勢，積極投入工廠自動化、智慧交通，與智慧能源等應用領域。以培植自身嵌入式電腦技術能力及推動品牌核心價值，朝向獲利較高的產業發展，為合作夥伴與股東創造多贏格局。
公司於1990年 (民國79年) 創立，在台灣生產製造，以艾訊品牌行銷全球，帶動國內就業市場並將台灣品牌推向全世界。艾訊傾聽客戶的聲音，著眼創新的設計，提供彈性與客製化服務，生產高品質的產業電腦，並追求卓越的客戶滿意度。
在品牌行銷與客戶關係方面，艾訊積極擴展海外服務據點，貼近市場了解客戶需求，深化客戶關係及建立 Franchise Partner 全球經銷合作夥伴。促進品牌全球在地化，以結盟或投資垂直市場技術或通路夥伴，加速海外品牌銷售布局的成長動能。
艾訊主要產品線包括嵌入式板卡、嵌入式電腦模組、嵌入式電腦系統、工業物聯網閘道器、工業級防火牆、工業級準系統、網路安全應用平台、觸控式平板電腦、無風扇人機介面、醫療級平板電腦、工業級網路交換器以及數位電子看板等。艾訊擁有經驗豐富的研發與製造團隊，以先進的嵌入式技術，開發多樣化的嵌入式及工業電腦產品和模組化設計應用電腦平台。成功應用於工廠自動化、智慧軌道交通、船舶航太、智慧能源、機器人產業、智慧醫療、博奕/遊戲、銷售時點情報系統、互動式多媒體平台、零售垂直市場、網絡安全、數位電子看板以及更多工業物聯網相關領域。
在追求永續經營與獲利的同時，能夠實踐企業社會責任，公司逐步導入CSR (Corporate Social Responsibility企業社會責任)，注意利害關係人權益，重視環境、社會與公司治理，符合國際發展趨勢，並納入公司管理方針與營運活動，更進一步實現艾訊的企業價值。
產品類型
Application Security
5G Cybersecurity
Firewall Management
SASE
Data Encryption
OT Security",https://twitter.com/Axiomtek,https://www.facebook.com/AxiomtekTW,https://tw.linkedin.com/company/axiomtek,https://twitter.com/Axiomtek,https://cybersec.ithome.com.tw/2024/exhibition-page/2001,艾訊,P113
21,886-2-2358-1900,ryan_lin@baas-holdings.com,"博士旺創新股份有限公司為台灣首間上市櫃的區塊鏈技術應用公司（股票代碼：3555）專注於開發區塊鏈技術的落地應用，積極拓展非傳統之資安保護、身份驗證、身份識別等領域。團隊由ICT、電信、遊戲開發服務等領域專家組成，具有多年開發經驗，為客戶提供最完善的資訊應用服務及解決方案。
產品類型
Database Security
Backup and Recovery
FIDO
Authentication",https://www.baasid.com.tw/,,,,https://cybersec.ithome.com.tw/2024/exhibition-page/2237,博士旺,T17
22,886-2-2308-7700,sales@baoyi-info.com.tw,"「資訊安全產品代理 專業加值顧問服務」
寶誼資訊BAOYI INFORMATION CO., LTD作為資安產品代理商，不只是將國外創新的資安觀念及技術引進台灣巿場，專業顧問服務亦為我們的所著重的部份，精選資安產品搭配專業顧問服務兩者相輔相成，寶誼為客戶與合作夥伴(經銷商)的最佳夥伴。
企業經營方針 / 理念
寶誼資訊是由一群專注於資訊安全領域並耕耘多年的人員所成立的公司，透過專業紮實的技術顧問團隊，支援合作夥伴(經銷商)的服務需求，並從提供客戶完善規劃、到導入建置至維護服務，完整解決客戶所面臨的資安難題，共同創造最大價值。自寶誼成立以來，專業的技術與優秀的服務廣受合作夥伴(經銷商)信賴與客戶好評。我們深信產品加上專業技術與服務熱忱，是永續經營之本，並期許和合作夥伴(經銷商)與客戶，建立長久合作信任基礎與寶貴友誼。
產品類型
Access Management
Risk Management
Threat Intelligence
Encryption
Cloud Security",https://www.baoyi-info.com.tw/,,,,https://cybersec.ithome.com.tw/2024/exhibition-page/2061,BAOYI 寶誼資訊,C227
23,+886-2-2308-7700,sales@baoyi-info.com.tw,"NetGuardians 是一家屢獲殊榮的瑞士 FinTech 公司，幫助超過 30 個國家的金融機構打擊詐欺。超過 80 家銀行，包括亞太地區五大銀行中的三家，都依靠 NetGuardians 的 3D 人工智慧 (3D AI) 解決方案，以實時方式防止詐欺支付。使用 NetGuardians 軟體的銀行已經實現了 85% 的客戶摩擦減少，75% 以上的營運成本降低，並發現了新的詐欺案例。NetGuardians 是主要銀行軟體公司的防詐欺合作夥伴，包括 Finastra、Avaloq、Mambu 和 Finacle。NetGuardians 被列為 Gartner 2020 年線上詐欺檢測市場指南的代表性供應商，並在 Aite 2021 年詐欺和 AML 機器學習平台報告中被評為全球領導者。NetGuardians 總部位於瑞士，在新加坡、肯亞和波蘭設有辦事處。
產品類型
Risk Management",https://www.baoyi-info.com.tw/,,,,https://cybersec.ithome.com.tw/2024/exhibition-page/2062,NetGuardians,C227
24,台北 (02)7752-3458、台中 (04)3707-9269、台南 (06)330-9929、高雄 (07)975-3638,marketing@bccs.com.tw,"漢昕科技成立於 2004 年，專職於資訊安全服務，以永續、誠信、專業、安全、健康的服務精神，提供政府機構、大型企業、學校單位最完整的解決方案，是客戶心目中最佳的資安顧問服務優選廠商。透過完整的服務與教育訓練規劃以及完整的資安產品線，紮實的服務經驗以及全方位售前售後能力，提供資安顧問諮詢、資安整備技術稽核服務、資安產品建置專案導入、資安教育訓練及相關技術支援等全方位的服務，協助客戶以最精簡的成本，達到最大的效益。
產品類型
Breach and Attack Simulation
Managed Security Service
AI Analytics
Consultation Service
Cybersecurity Training
Security Consulting",https://www.facebook.com/profile.php?id=100069478047159,https://www.facebook.com/profile.php?id=100069478047159,,,https://cybersec.ithome.com.tw/2024/exhibition-page/2245,BCCS 漢昕科技,T21
25,,event@t-tech.com.tw,"湛揚雲科技是湛揚科技的子公司；湛揚科技是安克諾斯 Acronis 台灣總代理。自 2005 年成立後，一直致力於協同合作夥伴提供『資料備份、端點防護及網路安全』等高性價比產品代理及專業服務為公司宗旨。湛揚科技同時也是「唯思安全 WithSecure」與「芬-安全F-Secure」個人防毒產品台灣總代理及 SOPHOS 防火牆專業白金夥伴，協同通路夥伴提供企業客戶基礎資安建設必備項目─『備份、防毒、防火牆』。在未來千變萬化的網路應用與建置的環境下，透過最佳安全解決方案，創造共同成長的資安新世代，以『客戶滿意』與『永續經營』為企業使命及目標！
產品類型
Endpoint Detection Response",https://www.bvtl.com.tw/,,,,https://cybersec.ithome.com.tw/2024/exhibition-page/2108,湛揚雲科技,P109
26,02-2562-3952,desiree@billows.com.tw,"竣盟科技致力於協助客⼾落實資安法規遵循，使管理者在整合各類資訊並落實法令規範的同時，亦能夠無縫接軌原有業務。除了將法規制度與實際IT維運進行有效且合理的整合外，竣盟科技的解決方案也導入情資防禦的觀念與機制，讓管理者在輕鬆處理法規相關作業之餘，也能夠隨時同步全球最新資安情資，改善資安狀況。
產品類型
Governance Risk Compliance
Unified Threat Management
Deception
Security Information Event and Management",https://www.facebook.com/BillowsTechTW,https://www.facebook.com/BillowsTechTW,,,https://cybersec.ithome.com.tw/2024/exhibition-page/2217,竣盟科技,T01
27,886-2-2959 6938,service@bimap.co,"集先鋒科技致力於提供全面的大數據治理解決方案，充分利用大數據分析的優勢，落實自動化流程，以實現精準管理的目標。 我們的服務涵蓋建立監控中台，整合大量日誌的解析、保存以及視覺化功能。 根據客戶不同的需求，我們打造全域戰情中心，包括 ITOPS 運維戰情中心、SecOps 安全戰情中心、DevOps 應用戰情中心和 BizOps 營運戰情中心，為各行業提供全方位的支援。
我們專注於協助企業打造內部資料集中化平台，使其能夠方便地一站式管理分散在各地的寶貴數據，集中不同的結構化和非結構化數據，並進行關聯性大數據整合。 我們提供客製化的儀表板、自訂事件警告、以及機器學習等功能，以滿足不同大數據應用場景的需求，客戶涵蓋資安、能源、半導體、製造業、金融銀行等領域。
集先鋒科技官方網站：https://bimap.com.tw
產品類型
Security Analytics
ITSM",https://bimap.com.tw/,,,,https://cybersec.ithome.com.tw/2024/exhibition-page/2250,集先鋒科技,T11
28,02-2542-9758,sales@cyberview.com.tw,"力悅資訊成立於2005年，為專業的軟體加值代理商 VAD(Value Added Distributor)，集「技術」、「銷售」、「行銷」為一身，成為夥伴與顧客最強而有力的後盾。
我們提供「資安」領域相關的解決方案。秉持著「運用資訊技術幫助企業獲利」的信念，不斷引進全球最新的產品與觀點，十餘年來成功代理多種IT產品，並為大中華市場中不同規模的客群，提供專業分析、顧問與系統建置。
獨家代理的「Bitdefender」，成立於2001年，擁有1700多名員工，一半以上為研發技術人員。企業總部設在羅馬尼亞首都─布加勒斯特，在美國、西歐和中東設有分公司，企業客戶業績屢年增加達92%以上。
於150個國家保護超過5億個系統超過18年
超過150家OEM客戶，包括數家知名防毒廠商
連續七年獲得AV-Comparative最高分三顆星認証，品質穩定
產品類型
Endpoint Detection Response",https://www.facebook.com/Cyberview2005,https://www.facebook.com/Cyberview2005,,,https://cybersec.ithome.com.tw/2024/exhibition-page/2070,Bitdefender,C124
29,,,"Building Trust in the Digital Economy
Bitsight is a cyber risk management leader transforming how companies manage exposure, performance, and risk for themselves and their third parties.
Enterprises of all sizes and industries turn to Bitsight to expand distributed ecosystems without worrying about expanded attack surfaces. To accelerate transformation without accelerating financial woes. To add vendors without adding their vulnerabilities. And to get everyone talking the same language about risk.",https://twitter.com/BitSight,https://www.facebook.com/BitSight,https://www.linkedin.com/company/bitsight/,https://twitter.com/BitSight,https://cybersec.ithome.com.tw/2024/exhibition-page/2199,BITSIGHT,C110
30,02-2658-8970,contact@docutek.com.tw,"黑莓幫助組織防禦網路威脅。 BlackBerry 成立於 1984 年，當時名為 Research In Motion (RIM)，現已成為網路安全領域的領導者，協助各種規模的企業、政府機構和安全關鍵機構確保物聯網 (IoT) 的安全。
BlackBerry® 產品和服務包括基於 Cylance® AI 的端點安全解決方案、BlackBerry® UEM 統一端點管理平台、BlackBerry® AtHoc® 關鍵事件管理解決方案以及用於安全嵌入式系統的 BlackBerry® QNX® 軟體。
產品類型
Cloud Security
Unfied Endpoint Management",https://twitter.com/blackberry,https://www.facebook.com/BlackBerry/,https://www.linkedin.com/company/blackberry,https://twitter.com/blackberry,https://cybersec.ithome.com.tw/2024/exhibition-page/1958,BlackBerry,P104
31,,,"從駭客視角以第三方資安風險管理為目的建造的管理平台，只需一個頂級網域名稱(top-level Domain)即可從技術、財務及法規面開始評估企業資安態勢(security posture)。
資安態勢評估量化指標以分數0~100及英文子母A~D及F呈現，以非侵入式蒐集資安情資(OSINT)將蒐集之資料分類後與企業外網數位資產進行關聯分析，技術面根據Mitre的CTSA方法論以CWSS為主要評分依據。
研究駭客團隊的攻擊模式並提供企業勒索軟體易感染性指標，可根據指標內的發現強化對勒索軟體的防禦。
提供分階段的資安風險修補策略報告。
產品類型
Third-Party Risk Management",https://twitter.com/blackkitetech,,https://www.linkedin.com/company/blackkite/,https://twitter.com/blackkitetech,https://cybersec.ithome.com.tw/2024/exhibition-page/2316,Black Kite,P216
32,02 8771-5660,sales@frontiertech.com.tw,"Blancco Technology Group (AIM: BLTG), a carbon-neutral supplier, provides organizations with secure, compliant, and automated solutions that accelerate the transition to the circular economy. Each year, tens of millions of Blancco erasures allow top-tier organizations to protect end-of-life data against unauthorized access, safely redeploy data storage assets, and firmly comply with increased data protection and privacy requirements. Our precise device diagnostics help move used IT assets confidently into the circular economy, enabling enterprises, IT asset disposition (ITAD) vendors and recyclers, and mobile industry stakeholders to operate more sustainably.  
Globally approved, recommended and certified by governing and industry bodies around the world, Blancco is the industry standard in data erasure and mobile lifecycle solutions. With 35+ patented or patent-pending ideas, we continue to grow the number of innovative solutions global companies can rely on to accelerate operations, secure their data, and grow their businesses.
https://www.blancco.com/about-us/",https://www.blancco.com/,,,,https://cybersec.ithome.com.tw/2024/exhibition-page/2002,Blancco,C324
33,+886-2-25172532,service@chainsecurity.asia,"成立於 2018 年，由擁有超過15年數位鑑識、證據保全和資訊安全經驗的行業專家所創辦。
深感區塊鏈發展帶來新的轉機和挑戰，我們結合區塊鏈及資訊安全這兩大核心技術，開始我們打造安全數位未來的任務。
產品類型
Blockchain",https://twitter.com/i/flow/login?redirect_after_login=%2FBlockChainSec_,https://www.facebook.com/SecureBlockChain,https://www.linkedin.com/company/blockchain-security/,https://twitter.com/i/flow/login?redirect_after_login=%2FBlockChainSec_,https://cybersec.ithome.com.tw/2024/exhibition-page/2227,區塊科技,T20
